name,shortName,gps,version,catalog,doi,detail_url,mass_1_source,mass_1_source_lower,mass_1_source_upper,mass_2_source,mass_2_source_lower,mass_2_source_upper,network_matched_filter_snr,network_matched_filter_snr_lower,network_matched_filter_snr_upper,luminosity_distance,luminosity_distance_lower,luminosity_distance_upper,chi_eff,chi_eff_lower,chi_eff_upper,total_mass_source,total_mass_source_lower,total_mass_source_upper,chirp_mass_source,chirp_mass_source_lower,chirp_mass_source_upper,chirp_mass,chirp_mass_lower,chirp_mass_upper,redshift,redshift_lower,redshift_upper,far,far_lower,far_upper,p_astro,p_astro_lower,p_astro_upper,final_mass_source,final_mass_source_lower,final_mass_source_upper
GW231226_101520,GW231226_101520-v2,1387620938.3,2,GWTC-4.1,https://doi.org/10.7935/6xqf-ba54,https://gwosc.org/api/v2/event-versions/GW231226_101520-v2,40.2,-2.9,4.4,35.1,-4.9,3.2,34.7,,,1180.0,-360.0,240.0,-0.08,-0.1,0.09,75.0,-3.1,3.9,32.5,-1.5,1.8,,,,0.23,-0.06,0.04,1e-05,,,0.99,,,71.6,-2.8,3.7
GW230927_153832,GW230927_153832-v2,1379864330.9,2,GWTC-4.1,https://doi.org/10.7935/6xqf-ba54,https://gwosc.org/api/v2/event-versions/GW230927_153832-v2,21.7,-2.8,3.8,16.6,-2.6,2.5,20.3,,,1190.0,-540.0,370.0,0.03,-0.08,0.08,38.3,-2.1,3.3,16.37,-0.8,1.43,,,,0.23,-0.1,0.06,1e-05,,,0.99,,,36.5,-2.1,3.1
GW231123_135430,GW231123_135430-v3,1384782888.7,3,GWTC-4.1,https://doi.org/10.7935/6xqf-ba54,https://gwosc.org/api/v2/event-versions/GW231123_135430-v3,137.0,-18.0,23.0,101.0,-50.0,22.0,21.8,,,2200.0,-1500.0,1900.0,0.32,-0.41,0.25,236.0,-47.0,30.0,101.0,-30.0,13.0,,,,0.4,-0.25,0.27,1e-05,,,0.99,,,222.0,-42.0,28.0
GW230919_215712,GW230919_215712-v2,1379195850.0,2,GWTC-4.1,https://doi.org/10.7935/6xqf-ba54,https://gwosc.org/api/v2/event-versions/GW230919_215712-v2,27.3,-3.7,5.5,21.4,-4.2,3.5,16.8,,,1330.0,-510.0,790.0,0.18,-0.13,0.13,49.1,-4.5,4.2,21.0,-2.0,1.9,,,,0.25,-0.09,0.13,1e-05,,,0.99,,,46.5,-4.3,4.0
GW230627_015337,GW230627_015337-v2,1371866035.8,2,GWTC-4.1,https://doi.org/10.7935/6xqf-ba54,https://gwosc.org/api/v2/event-versions/GW230627_015337-v2,8.4,-1.3,1.7,5.74,-0.92,0.99,28.7,,,305.0,-139.0,65.0,0.02,-0.04,0.08,14.22,-0.47,0.79,6.02,-0.07,0.17,,,,0.07,-0.03,0.01,1e-05,,,0.99,,,13.57,-0.48,0.83
GW230628_231200,GW230628_231200-v2,1372029138.4,2,GWTC-4.1,https://doi.org/10.7935/6xqf-ba54,https://gwosc.org/api/v2/event-versions/GW230628_231200-v2,32.5,-3.9,6.1,27.0,-5.2,4.9,16.4,,,2260.0,-1080.0,790.0,-0.01,-0.17,0.16,59.2,-4.9,8.5,25.5,-2.2,3.8,,,,0.4,-0.17,0.12,1e-05,,,0.99,,,56.4,-4.5,8.0
GW231028_153006,GW231028_153006-v2,1382542224.3,2,GWTC-4.1,https://doi.org/10.7935/6xqf-ba54,https://gwosc.org/api/v2/event-versions/GW231028_153006-v2,94.0,-19.0,32.0,59.0,-24.0,21.0,22.4,,,4200.0,-1900.0,1300.0,0.45,-0.19,0.16,153.0,-14.0,29.0,63.0,-9.7,13.1,,,,0.68,-0.26,0.17,1e-05,,,0.99,,,144.0,-13.0,27.0
GW231102_071736,GW231102_071736-v2,1382944674.4,2,GWTC-4.1,https://doi.org/10.7935/6xqf-ba54,https://gwosc.org/api/v2/event-versions/GW231102_071736-v2,61.0,-12.0,14.0,42.0,-13.0,13.0,15.6,,,3800.0,-1800.0,2100.0,0.06,-0.22,0.22,102.0,-13.0,21.0,43.3,-6.3,9.5,,,,0.63,-0.26,0.27,1e-05,,,0.99,,,98.0,-13.0,19.0
GW230914_111401,GW230914_111401-v2,1378725259.7,2,GWTC-4.1,https://doi.org/10.7935/6xqf-ba54,https://gwosc.org/api/v2/event-versions/GW230914_111401-v2,60.0,-11.0,12.0,37.0,-12.0,13.0,17.2,,,2700.0,-1200.0,1600.0,0.12,-0.19,0.19,96.0,-10.0,15.0,39.8,-6.2,7.6,,,,0.47,-0.19,0.22,1e-05,,,0.99,,,91.2,-9.9,14.2
GW230924_124453,GW230924_124453-v2,1379594711.8,2,GWTC-4.1,https://doi.org/10.7935/6xqf-ba54,https://gwosc.org/api/v2/event-versions/GW230924_124453-v2,28.8,-4.0,5.7,23.2,-4.3,4.4,13.5,,,2400.0,-1000.0,1000.0,0.02,-0.18,0.18,51.8,-4.9,7.1,22.3,-2.1,3.1,,,,0.42,-0.16,0.15,1e-05,,,0.99,,,49.4,-4.6,6.7
